derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,income,applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race_observed,applicant_sex,applicant_sex_observed,applicant_age,applicant_age_above_62,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage
Not Hispanic or Latino,Asian,Male,1,215000,9.2,1075000,146,2,2,,2,2,,,2,1,2,55-64,No,5365,87.96,98200,143
Ethnicity Not Available,Race Not Available,Male,0,175000,NA,1715000,90,2,3,,2,6,,,2,1,2,35-44,No,4903,35.02,98200,100
Ethnicity Not Available,Race Not Available,Male,0,375000,NA,2365000,37,2,3,,2,6,,,2,1,2,35-44,No,3080,17.08,119500,190
Not Hispanic or Latino,White,Male,0,355000,NA,1015000,251,2,2,,2,5,,,2,1,2,35-44,No,6263,24.35,98200,186
Not Hispanic or Latino,Asian,Female,0,205000,NA,665000,212,2,2,,2,2,23,,2,2,2,45-54,No,5700,89.11,180400,78
Joint,Race Not Available,Joint,1,335000,6,465000,139,3,1,11,2,6,,,2,2,2,35-44,No,4338,72.84,84000,139
Ethnicity Not Available,Race Not Available,Joint,1,405000,8.75,2505000,498,2,3,,2,6,,,2,1,2,35-44,No,4088,21.45,98200,275
Ethnicity Not Available,Race Not Available,Joint,0,585000,NA,785000,68,3,3,,2,6,,,2,2,2,55-64,No,4793,91.45,98200,68
Hispanic or Latino,Race Not Available,Joint,1,105000,9.65,635000,78,2,1,11,2,6,,,2,1,2,55-64,No,3875,86.84,97500,94
Not Hispanic or Latino,White,Male,0,255000,NA,585000,38,2,2,,2,5,,,2,1,2,55-64,No,4293,96.13,98200,73
Joint,White,Joint,1,205000,6.5,455000,186,2,2,,2,5,,,2,1,2,45-54,No,3669,32.57,97500,104
Not Hispanic or Latino,White,Male,0,255000,NA,575000,22,3,2,,2,5,,,2,1,2,55-64,No,4293,96.13,98200,73
Ethnicity Not Available,Race Not Available,Female,0,415000,NA,795000,160,3,3,,2,6,,,2,2,2,55-64,No,5670,68.41,97500,127
Ethnicity Not Available,Race Not Available,Joint,0,255000,NA,1665000,52,2,3,,2,6,,,2,1,2,55-64,No,5652,32.31,119500,105
Hispanic or Latino,White,Female,1,105000,8.75,745000,101,2,1,14,2,5,,,2,2,2,55-64,Yes,4974,94.21,98200,89
Not Hispanic or Latino,Asian,Joint,1,425000,8.875,525000,189,2,2,,2,2,21,,2,1,2,65-74,Yes,5857,74.25,98200,92
Ethnicity Not Available,Race Not Available,Male,1,205000,8.75,585000,181,2,3,,2,6,,,2,1,2,55-64,No,11441,64.65,97500,165
Ethnicity Not Available,Race Not Available,Joint,1,455000,8.75,1975000,304,2,3,,2,6,,,2,2,2,35-44,No,5661,78.73,155700,147
Ethnicity Not Available,Black or African American,Male,1,55000,8.75,795000,104,2,3,,2,3,,,2,1,2,55-64,No,4548,69.06,98200,140
Hispanic or Latino,Race Not Available,Joint,1,255000,8.75,975000,229,2,1,11,2,6,,,2,1,2,65-74,Yes,3030,51.65,84000,201
Ethnicity Not Available,Race Not Available,Joint,0,155000,NA,1165000,155,2,3,,2,6,,,2,2,2,55-64,No,2516,38.43,155700,103
Ethnicity Not Available,Race Not Available,Female,1,55000,8.75,945000,30,2,3,,2,6,,,2,2,2,>74,Yes,5561,60.12,98200,135
Ethnicity Not Available,Race Not Available,Joint,0,505000,NA,2205000,1092,2,3,,2,6,,,2,2,2,65-74,Yes,5189,22.7,98200,171
Not Hispanic or Latino,Asian,Female,0,255000,NA,1545000,160,2,2,,2,2,,,2,2,2,55-64,No,7568,36.67,129000,156
Not Hispanic or Latino,White,Male,1,305000,8.75,915000,119,2,2,,2,5,,,2,1,2,>74,Yes,1241,25.54,97500,122
Not Hispanic or Latino,White,Female,1,185000,9.025,715000,129,2,2,,2,5,,,2,2,2,45-54,No,3055,47.63,129000,160
Hispanic or Latino,White,Joint,1,475000,6.5,785000,187,3,1,,2,5,,,2,1,2,35-44,No,7185,48.34,125600,112
Not Hispanic or Latino,White,Joint,1,755000,8.75,2315000,248,2,2,,2,5,,,2,1,2,>74,Yes,5589,23.65,119500,161
Ethnicity Not Available,Race Not Available,Male,1,175000,8.75,585000,85,2,3,,2,6,,,2,1,2,55-64,Yes,3281,93.08,98200,94
Hispanic or Latino,Race Not Available,Male,1,35000,10.4,635000,100,2,1,11,2,6,,,2,1,2,35-44,No,3372,90.63,119500,72
Not Hispanic or Latino,Race Not Available,Joint,1,385000,8.75,685000,134,2,2,,2,6,,,2,1,2,55-64,No,6149,74.65,98200,108
Hispanic or Latino,Race Not Available,Joint,0,105000,NA,515000,223,2,1,,2,6,,,2,1,2,45-54,No,4888,89.53,97500,78
Not Hispanic or Latino,White,Female,1,205000,8.875,715000,105,2,2,,2,5,,,2,2,2,>74,Yes,3394,65.47,98200,156
Joint,Joint,Joint,1,735000,9.2,1905000,433,2,2,,2,5,,,2,2,2,45-54,No,1932,26.86,119500,91
Not Hispanic or Latino,Race Not Available,Male,0,95000,NA,1155000,-9,2,2,,2,6,,,2,1,2,45-54,No,4336,86.92,98200,130
Not Hispanic or Latino,White,Male,0,155000,NA,1005000,200,2,2,,2,5,,,2,1,2,45-54,No,7812,51.93,119500,153
Not Hispanic or Latino,White,Female,1,205000,9.35,855000,133,2,2,,2,5,,,2,2,2,55-64,No,6256,29.6,119500,105
Hispanic or Latino,White,Male,0,125000,NA,1005000,84,2,1,11,2,5,,,2,1,2,55-64,No,3160,90.57,119500,53
Ethnicity Not Available,Race Not Available,Sex Not Available,0,155000,NA,455000,206,2,3,,2,6,,,2,3,2,35-44,No,3056,96.3,119500,55
Not Hispanic or Latino,White,Male,1,135000,8.75,585000,94,2,2,,2,5,,,2,1,2,55-64,Yes,5533,55.09,119500,49
Not Hispanic or Latino,White,Female,1,135000,9.5,425000,68,2,2,,2,5,,,2,2,2,>74,Yes,7189,57.05,97500,107
Hispanic or Latino,Race Not Available,Joint,0,45000,NA,645000,69,2,1,11,2,6,,,2,2,2,25-34,No,14194,78.11,97500,143
Ethnicity Not Available,Race Not Available,Sex Not Available,0,75000,NA,505000,110,2,3,,2,6,,,2,3,2,45-54,No,5761,53.52,97500,129
Joint,White,Joint,1,95000,8.75,825000,119,2,2,,2,5,,,2,1,2,35-44,No,3553,45.37,119500,101
Not Hispanic or Latino,Race Not Available,Female,1,205000,8.75,895000,148,2,2,,2,6,,,2,2,2,65-74,Yes,4720,82.33,119500,107
Hispanic or Latino,Race Not Available,Joint,0,205000,NA,1255000,90,2,1,11,2,6,,,2,1,2,55-64,No,5130,88.99,119500,69
Hispanic or Latino,White,Male,0,35000,NA,835000,165,2,1,11,2,5,,,2,1,2,25-34,No,6623,87.36,98200,92
Hispanic or Latino,White,Male,0,85000,NA,305000,37,2,11,,2,5,,,2,1,2,45-54,No,6400,62.55,97500,53
Ethnicity Not Available,White,Male,0,105000,NA,1825000,115,2,3,,2,5,,,2,1,2,45-54,No,5885,28.95,98200,175
Ethnicity Not Available,Race Not Available,Joint,1,345000,9.5,1055000,210,2,3,,2,6,,,2,2,2,65-74,Yes,5987,81.78,98200,118
Not Hispanic or Latino,Asian,Male,1,105000,9.025,745000,181,2,2,,2,5,23,,2,1,2,35-44,No,8509,41.37,119500,152
Not Hispanic or Latino,White,Female,1,155000,8.75,715000,61,2,2,,2,5,,,2,2,2,>74,Yes,6340,90.88,98200,91
Not Hispanic or Latino,Race Not Available,Female,1,405000,8.75,3065000,521,2,2,,2,6,,,2,2,2,55-64,No,3890,33.19,98200,187
Ethnicity Not Available,Race Not Available,Joint,1,105000,8.9,1085000,124,2,3,,2,6,,,2,1,2,35-44,No,4588,38.47,119500,118
Not Hispanic or Latino,Asian,Female,0,125000,NA,805000,120,2,2,,2,2,23,,2,2,2,55-64,No,7039,55.09,98200,149
Ethnicity Not Available,Race Not Available,Sex Not Available,0,205000,NA,755000,125,2,3,,2,6,,,2,3,2,55-64,No,5401,35.62,97500,209
Ethnicity Not Available,Race Not Available,Male,1,145000,9.35,815000,200,2,3,,2,6,,,2,1,2,45-54,No,2445,41.51,78600,213
Not Hispanic or Latino,White,Joint,0,205000,NA,725000,213,2,2,,2,5,,,2,1,2,35-44,No,3801,43.86,119500,122
Not Hispanic or Latino,Race Not Available,Female,1,145000,9.65,935000,175,2,2,,2,6,,,2,2,2,35-44,No,8832,62.76,98200,201
Not Hispanic or Latino,White,Joint,1,605000,8.75,2505000,401,2,2,,2,5,,,2,1,2,55-64,Yes,3194,33.84,98200,231
Ethnicity Not Available,Race Not Available,Male,1,765000,8.75,2315000,380,2,3,,2,6,,,2,1,2,35-44,No,2598,22.17,119500,164
Not Hispanic or Latino,Black or African American,Joint,1,275000,8.75,655000,182,2,2,,2,3,,,2,1,2,55-64,Yes,5684,99.23,98200,82
Hispanic or Latino,Race Not Available,Female,1,55000,8.75,945000,187,2,1,11,2,6,,,2,2,2,55-64,No,5599,92.02,129000,57
Not Hispanic or Latino,White,Female,0,25000,NA,375000,122,2,2,,2,5,,,2,2,2,35-44,No,2207,29.54,97500,45
Hispanic or Latino,White,Female,1,325000,8.75,1615000,271,2,1,14,2,5,,,2,2,2,45-54,No,4284,56.44,129000,137
Not Hispanic or Latino,White,Joint,0,695000,NA,2205000,441,2,2,,2,5,,,2,1,2,25-34,No,3887,32.93,119500,168
Hispanic or Latino,Race Not Available,Joint,1,55000,9.5,725000,100,2,1,11,2,6,,,2,2,2,45-54,No,4133,89.26,98200,86
Not Hispanic or Latino,White,Joint,1,275000,8.75,645000,102,2,2,,2,5,,,2,1,2,55-64,Yes,14194,78.11,97500,143
Joint,Joint,Joint,1,65000,9.2,345000,237,2,2,,2,5,23,,2,2,2,45-54,No,4232,34.85,97500,65
Hispanic or Latino,White,Joint,0,105000,NA,1005000,97,2,11,,2,5,,,2,2,2,65-74,Yes,6999,51.88,98200,130
Ethnicity Not Available,Race Not Available,Male,0,855000,NA,1445000,525,2,3,,2,6,,,2,1,2,45-54,No,3105,21.32,125600,130
Joint,White,Joint,1,175000,9.05,525000,297,2,2,,2,5,,,2,2,2,55-64,No,3905,42.84,78600,219
Not Hispanic or Latino,White,Joint,1,155000,8.75,855000,150,2,2,,2,5,,,2,1,2,45-54,No,5021,55.95,119500,84
Hispanic or Latino,Race Not Available,Female,0,55000,NA,825000,15,2,1,11,2,6,,,2,2,2,35-44,No,8002,97.06,129000,56
Not Hispanic or Latino,Race Not Available,Joint,0,155000,NA,995000,212,2,2,,2,6,,,2,2,2,45-54,No,2206,56.03,98200,127
Hispanic or Latino,White,Male,0,155000,NA,1165000,87,2,1,,1,5,,,1,1,1,>74,Yes,4141,47.28,119500,151
Not Hispanic or Latino,Race Not Available,Joint,0,665000,NA,825000,193,3,2,,2,6,,,2,1,2,35-44,No,5166,81.44,180400,55
Not Hispanic or Latino,White,Female,1,85000,9.65,655000,275,2,2,,2,5,,,2,2,2,35-44,No,5315,31.42,113700,161
Not Hispanic or Latino,White,Joint,1,405000,7.125,775000,344,1,2,,2,5,,,2,1,2,>74,Yes,2825,32.32,97500,134
Ethnicity Not Available,Asian,Female,1,205000,9.5,815000,164,2,3,,2,2,23,,2,2,2,45-54,No,5918,80.18,97500,83
Hispanic or Latino,Race Not Available,Joint,0,75000,NA,695000,104,2,1,11,2,6,,,2,2,2,25-34,No,14194,78.11,97500,143
Hispanic or Latino,Race Not Available,Female,1,55000,8.75,535000,72,2,1,11,2,6,,,2,2,2,45-54,No,6497,90.23,97500,125
Joint,White,Joint,0,705000,NA,2805000,456,2,1,,2,5,,,2,2,2,45-54,No,6659,35.04,119500,121
Not Hispanic or Latino,Black or African American,Female,0,55000,NA,775000,74,2,2,,2,3,,,2,2,2,65-74,Yes,3986,81.01,97500,156
Ethnicity Not Available,Asian,Joint,1,355000,8.75,745000,168,2,3,,2,2,23,,2,1,2,65-74,Yes,4593,95.71,98200,96
Hispanic or Latino,Race Not Available,Joint,1,655000,6.625,815000,164,3,1,11,2,6,,,2,1,2,25-34,No,5085,87.22,98200,123
Ethnicity Not Available,Race Not Available,Sex Not Available,1,1145000,7,1585000,490,3,3,,2,6,,,2,3,2,35-44,No,5948,46.5,98200,139
Joint,White,Joint,1,265000,9.05,845000,191,2,2,,2,5,,,2,1,2,35-44,No,5067,80.09,98200,80
Not Hispanic or Latino,Asian,Male,0,95000,NA,1175000,159,2,2,,2,2,21,,2,1,2,35-44,No,7497,86.93,129000,45
Ethnicity Not Available,Race Not Available,Sex Not Available,1,405000,8.75,1805000,372,2,3,,2,6,,,2,3,2,45-54,No,4021,63.37,184200,117
Hispanic or Latino,Race Not Available,Joint,1,155000,8.75,755000,188,2,1,,2,6,,,2,2,2,55-64,No,3429,92.13,98200,135
Not Hispanic or Latino,White,Joint,0,55000,NA,455000,49,2,2,,2,5,,,2,1,2,55-64,Yes,5981,64.15,119500,40
Hispanic or Latino,Race Not Available,Male,0,55000,NA,705000,232,2,1,,2,6,,,2,1,2,55-64,No,3390,82.48,98200,132
Not Hispanic or Latino,White,Female,1,125000,8.75,875000,123,2,2,,2,5,,,2,2,2,65-74,Yes,5048,43.28,119500,66
Not Hispanic or Latino,White,Female,1,35000,9.5,2105000,83,2,2,,2,5,,,2,2,2,65-74,Yes,4632,29.88,98200,170
Hispanic or Latino,White,Joint,1,505000,9.2,685000,182,2,1,11,2,5,,,2,1,2,45-54,No,3947,93.21,98200,67
Not Hispanic or Latino,Race Not Available,Female,1,105000,9.5,665000,137,2,2,,2,6,,,2,2,2,35-44,No,3039,26.82,119500,124
Not Hispanic or Latino,White,Female,0,55000,NA,255000,40,2,2,,2,5,,,2,2,2,45-54,No,4757,49.48,87900,56
Not Hispanic or Latino,Joint,Joint,0,105000,NA,555000,301,2,2,,2,5,,,2,1,2,35-44,No,4965,73.27,119500,72
Ethnicity Not Available,Race Not Available,Joint,1,105000,8.875,515000,NA,2,3,,2,6,,,2,2,2,65-74,Yes,5399,59.84,98200,141
Hispanic or Latino,White,Joint,0,205000,NA,1005000,180,2,1,,2,5,,,2,1,2,55-64,No,5327,68.76,98200,139
Not Hispanic or Latino,White,Male,1,205000,8.75,775000,418,2,2,,2,5,,,2,1,2,35-44,No,5141,52.17,125600,99
Not Hispanic or Latino,White,Male,0,15000,NA,895000,179,2,2,,2,5,,,2,1,2,55-64,No,2859,74.26,125600,57
Hispanic or Latino,White,Female,0,255000,NA,3005000,60,2,1,,2,5,,,2,2,2,>74,Yes,3410,41.17,98200,73
Not Hispanic or Latino,White,Joint,1,255000,10.7,4255000,1278,2,2,,2,5,,,2,1,2,45-54,No,5151,31.9,155700,135
Not Hispanic or Latino,Asian,Female,0,105000,NA,875000,162,2,2,,2,2,23,,2,2,2,65-74,Yes,3609,53.53,98200,134
Not Hispanic or Latino,Black or African American,Female,1,135000,9.2,595000,76,2,2,,2,3,,,2,2,2,55-64,Yes,3304,90.65,98200,70
Not Hispanic or Latino,Race Not Available,Joint,1,135000,8.875,745000,192,2,2,,2,6,,,2,1,2,35-44,No,6085,55.78,98200,98
Not Hispanic or Latino,Joint,Joint,0,45000,NA,405000,19,2,2,,2,5,,,2,2,2,45-54,No,4433,43.85,97500,70
Hispanic or Latino,Race Not Available,Joint,1,355000,8.75,1385000,230,2,1,11,2,6,,,2,1,2,35-44,No,2235,63.89,98200,199
Ethnicity Not Available,Race Not Available,Female,1,245000,9.5,935000,137,2,3,,2,6,,,2,2,2,55-64,No,4906,83.9,98200,135
Hispanic or Latino,American Indian or Alaska Native,Female,0,505000,NA,835000,99,1,1,11,2,1,,,2,2,2,45-54,No,3645,95.23,98200,68
Not Hispanic or Latino,White,Female,0,65000,NA,465000,127,2,2,,2,5,,,2,2,2,35-44,No,5833,86.44,97500,0
Ethnicity Not Available,Race Not Available,Female,0,45000,NA,525000,43,2,3,,2,6,,,2,2,2,65-74,Yes,3816,89.88,97500,79
Ethnicity Not Available,Race Not Available,Joint,0,505000,NA,845000,246,2,3,,2,6,,,2,1,2,65-74,Yes,3053,44.35,98200,159
Not Hispanic or Latino,White,Male,1,445000,8.75,2375000,356,2,2,,2,5,,,2,1,2,25-34,No,3045,39.38,129000,129
Not Hispanic or Latino,Asian,Female,0,145000,NA,1375000,100,2,2,,2,2,22,,2,2,2,35-44,No,7360,74.55,184200,94
Ethnicity Not Available,Asian,Female,0,125000,NA,715000,80,2,3,,2,2,,,2,2,2,35-44,No,2741,98.58,98200,0
Ethnicity Not Available,Race Not Available,Joint,1,505000,9.05,2005000,676,2,3,,2,6,,,2,1,2,35-44,No,4903,35.02,98200,100
Ethnicity Not Available,White,Male,0,165000,NA,995000,51,2,3,,2,5,,,2,1,2,35-44,No,6999,51.88,98200,130
Hispanic or Latino,Race Not Available,Male,1,185000,8.75,655000,95,2,1,11,2,6,,,2,1,2,55-64,No,6241,98.94,98200,72
Hispanic or Latino,Race Not Available,Male,1,115000,9.2,695000,195,2,1,,2,6,,,2,1,2,25-34,No,3858,98.76,98200,40
Not Hispanic or Latino,White,Male,0,305000,NA,1505000,124,2,2,,2,5,,,2,1,2,45-54,No,6845,26.59,119500,214
Ethnicity Not Available,Race Not Available,Sex Not Available,1,6505000,5.57,18205000,NA,9,4,,3,7,,,3,4,3,8888,NA,7652,86.02,155700,60
Ethnicity Not Available,Race Not Available,Sex Not Available,1,295000,5,345000,NA,9,4,,3,7,,,3,4,3,8888,NA,7129,78.82,97500,55
Hispanic or Latino,Race Not Available,Female,0,15000,NA,465000,NA,2,1,11,2,6,,,2,2,2,55-64,Yes,4765,69.38,91100,139
Ethnicity Not Available,Race Not Available,Sex Not Available,1,6005000,5.59,9255000,NA,9,4,,3,7,,,3,4,3,8888,NA,5921,51.93,83700,93
Not Hispanic or Latino,White,Female,1,105000,8.375,885000,129,2,2,,2,5,,,2,2,2,55-64,No,2652,34.46,184200,133
Ethnicity Not Available,Race Not Available,Joint,1,405000,9.35,1365000,311,2,3,,2,6,,,2,1,2,45-54,No,5927,25.58,113700,176
Joint,White,Joint,0,255000,NA,2255000,339,2,2,,2,5,,,2,1,2,45-54,No,7357,55.21,180400,131
Hispanic or Latino,White,Male,1,505000,8.75,2275000,264,2,1,12,2,5,,,2,1,2,45-54,No,5990,68.83,155700,125
Not Hispanic or Latino,Asian,Female,1,305000,8.75,1555000,254,2,2,,2,2,23,,2,2,2,65-74,Yes,6263,24.35,98200,186
Not Hispanic or Latino,Race Not Available,Male,1,735000,8.3,2605000,367,2,2,,2,6,,,2,1,2,45-54,No,7198,41.09,119500,216
Ethnicity Not Available,Race Not Available,Female,1,245000,9.05,935000,156,2,3,,2,6,,,2,2,2,45-54,No,4548,69.06,98200,140
Not Hispanic or Latino,White,Joint,0,155000,NA,1355000,167,2,2,,2,5,,,2,1,2,45-54,No,3596,20.36,98200,269
Not Hispanic or Latino,White,Male,0,755000,NA,3205000,100,2,2,,2,5,,,2,1,2,45-54,No,3101,29.12,125600,111
Not Hispanic or Latino,Asian,Female,1,405000,8.75,1775000,178,2,2,,2,2,23,,2,2,2,55-64,Yes,2526,95.53,98200,179
Not Hispanic or Latino,Black or African American,Female,1,165000,8.9,835000,230,2,2,,2,3,,,2,2,2,55-64,No,4683,97.67,98200,81
Hispanic or Latino,Race Not Available,Male,1,255000,7,395000,89,2,1,,2,6,,,2,1,2,45-54,No,4433,43.85,97500,70
Ethnicity Not Available,Race Not Available,Male,1,1005000,8.75,4105000,803,2,3,,2,6,,,2,1,2,45-54,No,3101,29.12,125600,111
Not Hispanic or Latino,Asian,Female,1,765000,6.625,875000,184,3,2,,2,2,23,,2,2,2,45-54,No,4129,49.82,119500,104
Hispanic or Latino,White,Male,0,75000,NA,635000,59,2,1,,2,5,,,2,1,2,45-54,No,3012,56.04,119500,108
Hispanic or Latino,Race Not Available,Joint,1,295000,9.65,715000,156,2,1,11,2,6,,,2,2,2,35-44,No,2912,97.49,98200,76
Not Hispanic or Latino,Black or African American,Female,0,75000,NA,805000,72,2,2,,1,3,,,2,2,1,45-54,No,14194,78.11,97500,143
Not Hispanic or Latino,White,Joint,1,255000,8.75,1295000,242,2,2,,2,5,,,2,2,2,45-54,No,2274,28.85,97500,157
Not Hispanic or Latino,Asian,Female,1,605000,6,815000,136,1,2,,2,2,26,,2,2,2,25-34,No,3898,77.66,98200,140
Not Hispanic or Latino,White,Female,1,75000,8.9,415000,38,2,2,,2,5,,,2,2,2,>74,Yes,3902,28.99,97500,77
Not Hispanic or Latino,White,Male,1,85000,9.2,685000,109,2,2,,2,5,,,2,1,2,25-34,No,10185,62.72,97500,154
Ethnicity Not Available,Race Not Available,Joint,1,255000,7.625,315000,227,2,3,,2,6,,,2,1,2,55-64,No,1439,34.26,97500,113
Hispanic or Latino,Black or African American,Female,1,165000,5.625,205000,NA,1,1,,2,3,,,2,2,2,45-54,No,3257,30.86,97500,77
Not Hispanic or Latino,White,Joint,0,605000,NA,2605000,540,2,2,,2,5,,,2,1,2,55-64,No,2274,28.85,97500,157
Not Hispanic or Latino,Race Not Available,Male,1,195000,8,875000,249,2,2,,2,6,,,2,1,2,55-64,Yes,4220,56.07,119500,103
Not Hispanic or Latino,White,Female,0,85000,NA,805000,195,2,2,,2,5,,,2,2,2,35-44,No,7040,90.45,98200,114
Not Hispanic or Latino,Asian,Male,0,1605000,NA,3305000,312,1,2,,2,2,5,21,2,1,2,45-54,No,5989,43.5,119500,127
Ethnicity Not Available,Race Not Available,Joint,0,55000,NA,905000,76,2,3,,2,6,,,2,2,2,55-64,Yes,4093,97.85,98200,79
Ethnicity Not Available,Race Not Available,Male,0,55000,NA,305000,23,2,3,,2,6,,,2,1,2,65-74,Yes,4433,43.85,97500,70
Not Hispanic or Latino,Joint,Joint,1,1135000,7.125,1265000,429,2,2,,2,5,,,2,2,2,35-44,No,3945,29.48,155700,160
Ethnicity Not Available,Race Not Available,Sex Not Available,0,105000,NA,1505000,530,2,3,,2,6,,,2,3,2,55-64,No,5271,34.36,119500,147
Not Hispanic or Latino,Race Not Available,Female,1,205000,9.15,885000,184,2,2,,2,6,,,2,2,2,35-44,No,3986,81.01,97500,156
Not Hispanic or Latino,White,Joint,1,245000,8.75,1215000,183,2,2,,2,5,,,2,1,2,35-44,No,3580,32.32,98200,161
Joint,Joint,Joint,1,255000,8.25,855000,143,2,2,,2,5,23,,2,1,2,35-44,No,3669,69.91,119500,94
Joint,Asian,Joint,0,175000,NA,905000,277,2,2,,2,23,,,2,2,2,35-44,No,3986,81.01,97500,156
Ethnicity Not Available,Race Not Available,Female,1,305000,8.75,925000,177,2,3,,2,6,,,2,2,2,55-64,Yes,4010,58.08,98200,151
Not Hispanic or Latino,Race Not Available,Female,1,405000,9.5,865000,238,2,2,,2,6,,,2,2,2,55-64,No,4307,79.73,97500,144
Not Hispanic or Latino,White,Female,0,85000,NA,775000,171,2,2,,2,5,,,2,2,2,35-44,No,7040,90.45,98200,114
Ethnicity Not Available,Race Not Available,Female,1,1045000,5.625,2805000,206,3,3,,2,6,,,2,2,2,45-54,No,5237,41.42,184200,174
Ethnicity Not Available,Race Not Available,Male,1,355000,9.15,705000,99,2,3,,2,6,,,2,1,2,55-64,Yes,3906,68.51,98200,120
Not Hispanic or Latino,Black or African American,Male,1,55000,8.25,475000,65,2,2,,2,3,,,2,1,2,55-64,No,2951,59.44,98200,100
Not Hispanic or Latino,Black or African American,Female,0,105000,NA,605000,60,2,2,,2,3,,,2,2,2,55-64,No,3085,28.72,97500,68
Not Hispanic or Latino,White,Joint,1,405000,8.25,1265000,198,2,2,,2,5,,,2,1,2,65-74,Yes,3461,51.17,98200,138
Not Hispanic or Latino,White,Joint,1,105000,8.25,445000,136,2,2,,2,5,,,2,1,2,65-74,Yes,7189,57.05,97500,107
Ethnicity Not Available,Race Not Available,Sex Not Available,1,285000,6.5,445000,73,3,3,,2,6,,,2,3,2,45-54,No,4453,70.72,97500,99
Ethnicity Not Available,Race Not Available,Joint,1,435000,6.125,735000,87,1,3,,2,6,,,2,2,2,35-44,No,3965,92.76,119500,117
Hispanic or Latino,American Indian or Alaska Native,Joint,1,155000,8.4,655000,159,2,1,11,2,1,,,2,1,2,35-44,No,4853,83.89,97500,109
Ethnicity Not Available,Race Not Available,Male,0,755000,NA,4005000,737,2,3,,2,6,,,2,1,2,35-44,No,4974,37.37,98200,224
Not Hispanic or Latino,Asian,Joint,1,405000,6.125,1555000,102,1,2,,2,2,23,,2,2,2,65-74,Yes,4312,90.45,180400,95
Not Hispanic or Latino,Black or African American,Female,0,55000,NA,455000,14,2,2,,2,3,,,2,2,2,65-74,Yes,4541,94.96,84000,85
Not Hispanic or Latino,White,Male,1,435000,5.875,1185000,109,3,2,,2,5,,,2,1,2,55-64,Yes,4778,36.33,119500,97
Ethnicity Not Available,Race Not Available,Female,0,75000,NA,2805000,206,3,3,,2,6,,,2,2,2,45-54,No,5237,41.42,184200,174
Hispanic or Latino,Race Not Available,Joint,1,315000,6.625,375000,202,3,1,11,2,6,,,2,1,2,55-64,No,5594,87.7,84000,44
Not Hispanic or Latino,Race Not Available,Joint,0,1005000,NA,4855000,553,2,2,,2,6,,,2,1,2,45-54,No,6784,76.99,129000,139
Not Hispanic or Latino,White,Male,1,685000,7.125,865000,242,3,2,,2,5,,,2,1,2,25-34,No,3446,67.7,98200,187
Ethnicity Not Available,Race Not Available,Female,1,135000,6.5,505000,65,1,3,,2,6,,,2,2,2,65-74,Yes,3816,89.88,97500,79
Not Hispanic or Latino,White,Male,1,715000,9.35,2655000,506,2,2,,2,5,,,2,1,2,45-54,No,6659,35.04,119500,121
